,Unnamed: 0,Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update,Clock
0,0,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522260084000,18
1,1,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522260694000,18
2,2,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522261106000,18
3,3,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522261434000,18
4,4,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522262064000,18
5,5,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522262673000,18
6,6,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522263282000,18
7,7,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522263891000,19
8,8,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522264584000,19
9,9,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522265193000,19
10,10,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522265349000,19
11,11,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522265700000,19
12,12,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522266085000,19
13,13,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522266694000,19
14,14,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522267303000,20
15,15,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522267912000,20
16,16,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522268520000,20
17,17,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522268788000,20
18,18,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522269396000,20
19,19,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,30,1,1522269789000,20
20,20,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522269868000,20
21,21,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522270477000,20
22,22,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522271085000,21
23,23,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522271695000,21
24,24,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522272305000,21
25,25,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522272721000,21
26,26,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522273355000,21
27,27,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522273539000,21
28,28,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,31,0,1522274147000,21
